course/slug	old_id	new_id	old_ordinal	new_ordinal	old_active	new_active	old_revision	new_revision	changed_fields
grpc/absent-versus-zero	2	2	2	2	1	1	1	1	
grpc/discover-and-call	4	4	4	4	1	1	1	1	
grpc/message-to-bytes	1	1	1	1	1	1	1	1	
grpc/read-an-evolved-message	3	3	3	3	1	1	1	1	
grpc/status-metadata-and-streams	5	5	5	5	1	1	1	1	
grpc/timeout-and-retry	6	6	6	6	1	1	1	1	
linux/atomic-rename	35	35	29	29	1	1	1	2	syntax_breakdown,code,expected_result,challenge,revision
linux/bounded-filesystem-full	41	41	35	35	1	1	2	3	syntax_breakdown,code,challenge,revision
linux/bounded-oom-kill	48	48	42	42	1	1	2	3	syntax_breakdown,challenge,revision
linux/build-disposable-linux-lab	7	7	1	1	1	1	2	3	syntax_breakdown,challenge,revision
linux/capstone-service-outage	78	78	72	72	1	1	1	2	overview,syntax_breakdown,code,expected_result,systems_lens,challenge,caution,estimated_minutes,revision
linux/change-scheduling-priority	52	52	46	46	1	1	2	3	overview,syntax_breakdown,challenge,revision
linux/cleanup-with-traps	12	12	6	6	1	1	2	3	syntax_breakdown,challenge,revision
linux/command-line-and-environment	16	16	10	10	1	1	1	2	syntax_breakdown,challenge,revision
linux/compare-df-and-du	38	38	32	32	1	1	1	2	syntax_breakdown,code,expected_result,challenge,revision
linux/compare-rss-and-vsz	44	44	38	38	1	1	1	2	syntax_breakdown,challenge,revision
linux/coordinate-two-shell-sessions	11	11	5	5	1	1	1	2	syntax_breakdown,challenge,revision
linux/cpu-time-vs-wall-time	49	49	43	43	1	1	1	2	syntax_breakdown,challenge,revision
linux/create-listening-socket	61	61	55	55	1	1	1	2	syntax_breakdown,challenge,revision
linux/deleted-open-file	36	36	30	30	1	1	1	2	syntax_breakdown,challenge,revision
linux/enforce-cgroup-budget	60	60	54	54	1	1	2	3	syntax_breakdown,challenge,revision
linux/enter-existing-namespace	72	72	66	66	1	1	2	3	syntax_breakdown,challenge,revision
linux/exhaust-file-descriptors	30	30	24	24	1	1	2	3	syntax_breakdown,code,challenge,revision
linux/fifo-process-coordination	29	29	23	23	1	1	1	2	overview,syntax_breakdown,code,expected_result,systems_lens,challenge,caution,revision
linux/foreground-and-background	19	19	13	13	1	1	1	2	syntax_breakdown,challenge,revision
linux/graceful-and-forced-stop	23	23	17	17	1	1	2	3	syntax_breakdown,challenge,revision
linux/hard-link-counts	32	32	26	26	1	1	1	2	syntax_breakdown,challenge,revision
linux/identify-kernel-and-userspace	8	8	2	2	1	1	1	2	syntax_breakdown,challenge,revision
linux/inherited-open-files	27	27	21	21	1	1	1	2	syntax_breakdown,challenge,revision
linux/inspect-cgroup-v2	59	59	53	53	1	1	1	2	syntax_breakdown,challenge,revision
linux/inspect-namespace-membership	67	67	61	61	1	1	1	2	syntax_breakdown,challenge,revision
linux/inventory-required-commands	9	9	3	3	1	1	2	3	syntax_breakdown,challenge,revision
linux/isolate-mount-namespace	69	69	63	63	1	1	2	3	syntax_breakdown,code,expected_result,challenge,revision
linux/isolate-network-namespace	71	71	65	65	1	1	2	3	syntax_breakdown,challenge,revision
linux/isolate-pid-namespace	68	68	62	62	1	1	2	3	syntax_breakdown,challenge,revision
linux/limit-cpu-time	58	58	52	52	1	1	1	2	syntax_breakdown,challenge,revision
linux/limit-file-size	57	57	51	51	1	1	1	2	syntax_breakdown,challenge,revision
linux/limit-open-files	55	55	49	49	1	1	2	3	syntax_breakdown,challenge,revision
linux/limit-process-count	56	56	50	50	1	1	2	3	syntax_breakdown,challenge,revision
linux/load-average-runnable-work	50	50	44	44	1	1	1	2	syntax_breakdown,challenge,revision
linux/map-mounts-and-devices	37	37	31	31	1	1	1	2	syntax_breakdown,challenge,revision
linux/map-port-to-process	62	62	56	56	1	1	1	2	syntax_breakdown,challenge,revision
linux/map-process-address-space	43	43	37	37	1	1	1	2	syntax_breakdown,challenge,revision
linux/map-user-namespace	70	70	64	64	1	1	2	3	syntax_breakdown,challenge,revision
linux/normalize-shell-observations	10	10	4	4	1	1	1	2	syntax_breakdown,challenge,revision
linux/observe-context-switches	51	51	45	45	1	1	1	2	syntax_breakdown,challenge,revision
linux/observe-page-faults	45	45	39	39	1	1	1	2	syntax_breakdown,challenge,revision
linux/paths-and-inodes	31	31	25	25	1	1	1	2	syntax_breakdown,challenge,revision
linux/permissions-and-umask	34	34	28	28	1	1	1	2	syntax_breakdown,challenge,revision
linux/pid-and-parentage	13	13	7	7	1	1	1	2	syntax_breakdown,challenge,revision
linux/pin-cpu-affinity	53	53	47	47	1	1	1	2	syntax_breakdown,challenge,revision
linux/pipe-buffer-backpressure	28	28	22	22	1	1	1	2	overview,syntax_breakdown,code,expected_result,challenge,revision
linux/pipelines-are-processes	21	21	15	15	1	1	2	3	syntax_breakdown,challenge,revision
linux/proc-process-identity	15	15	9	9	1	1	1	2	syntax_breakdown,challenge,revision
linux/process-states	17	17	11	11	1	1	1	2	syntax_breakdown,challenge,revision
linux/process-tree	14	14	8	8	1	1	1	2	syntax_breakdown,challenge,revision
linux/reclaim-under-pressure	47	47	41	41	1	1	2	3	syntax_breakdown,challenge,revision
linux/recover-filesystem-space	42	42	36	36	1	1	2	3	syntax_breakdown,code,challenge,revision
linux/redirect-and-duplicate-fds	26	26	20	20	1	1	1	2	syntax_breakdown,challenge,revision
linux/saturate-listen-backlog	66	66	60	60	1	1	1	2	syntax_breakdown,challenge,revision
linux/set-io-priority	54	54	48	48	1	1	1	2	syntax_breakdown,challenge,revision
linux/signal-disposition	22	22	16	16	1	1	2	3	syntax_breakdown,challenge,revision
linux/socket-is-a-file-descriptor	65	65	59	59	1	1	1	2	syntax_breakdown,challenge,revision
linux/sparse-file-allocation	39	39	33	33	1	1	1	2	syntax_breakdown,challenge,revision
linux/standard-stream-fds	25	25	19	19	1	1	1	2	syntax_breakdown,challenge,revision
linux/symlink-resolution	33	33	27	27	1	1	1	2	syntax_breakdown,challenge,revision
linux/tcp-connection-lifecycle	63	63	57	57	1	1	2	3	syntax_breakdown,challenge,revision
linux/threads-under-task	18	18	12	12	1	1	1	2	syntax_breakdown,challenge,revision
linux/tmpfs-uses-memory	40	40	34	34	1	1	2	3	syntax_breakdown,code,challenge,revision
linux/triage-cpu-saturation	73	73	67	67	1	1	1	2	overview,syntax_breakdown,code,expected_result,systems_lens,challenge,revision
linux/triage-deleted-file-space	76	76	70	70	1	1	1	2	overview,syntax_breakdown,code,expected_result,systems_lens,challenge,revision
